	{斜玉}
	{祭字头}
	{面字心}
	{竹头}
	{令字底}
	{索字头}
	{纛左下角}
	{轻字边}
	{民字框}
	{伞字底}
	{羲字底}
	{兼无䒑}
	{亥无亠无人}
	{而字底}
	{曾字头无丷}
	{舞字头无卧人}
	{脊字头}
	{高头}
	{臧字框}
	{至字头}
	{舆字头框}
	{㡀无冂}
	{舞字头}
	{节字底}
	{蒙字底}
	{虐字底}
	{来无二}
	{乎无撇}
	{衣省}
	{衰字腰}
	{襄字底}
	{亦字底无八}
	{览字头}
	{尔字头}
	{㠯三}
	{兎字底无丶}
	{黽左角}
	{贲字头}
	{贵字头}
	{舍字底}
	{尚头}
	{竹左半}
	{竹右半}
	{足旁}
	{臣字心}
	{车旁}
	{辛旁}
	{赢字框底}
	{追字心}
	{豕出头}
	{那字旁}
	{皮三}
	{金字底}
	{雨头}
	{亙无二}
	{青字底}
	{盬右角}
	{鞴下角}
	{颐字旁}
	{风省}
	{鳥省}
	{鬯字头无凵}
	{鳏下角}
	{鸟省}
	{羌无䒑}
	{鹿字框}
	{堇字底}
	{黎右角}
	{黑字头}
	{鼎右角}
	{鼎左角}
	{鼠字底}
	{乔字底}
	{龠字腰}
	{癶左半}
	{癶右半}
	{更无一}
	{五无横}
	{象下}
	{乓下}
	{单字底}
	{龟字底}
	{鬼无厶}
	{予无龴}
	{矛无龴}
	{鹿字框无广}
	{隶字框}
	{乎无丷}
	{今无人}
	{典字头带横}
	{臣无巨}
	{求字框}
	{骨字头无冖}
	{囊字头无冖}
	{卸字旁无卧人}
	{镸无厶}
	{匆字心}
	{尤无折}
	{发无又}
	{气无卧人}
	{气三}
	{免字底}
	{奂下}
	{噩字框}
	{彧字框}
	{漢字边}
	{憂字头}
	{衣省变}
	{齊字腰最右}
	{発字底}
	{鼡字底}
	{淵字边}
	{䏓字旁}
	{龍字边}
	{亂字旁}
	{倉字腰}
	{䘮字头}
	{喪字头}
	{業字底}
	{帶字头}
	{䯬下角}
	{畫字头}
	{華字底}
	{與字头心}
	{乕字心}
	{桌字头}
	{㢘字底无灬}
	{臦字旁}
	{兏字心}
	{刋字旁}
	{専字头}
	{虛字底}
	{厯字底}
	{宐字底}
	{狦字边}
	{㒫字头}
	{扥字边}
	{縄字边}
	{盡字头无灬}
	{斲字旁}
	{㸔字头}
	{箆字腰}
	{慿字头}
	{㞮字底}
	{枾字边}
	{挿字边}
	{㳈字边}
	{弬字边}
	{揷字边}
	{舧字边}
	{様字边}
	{棄字底}
	{亜无一}
	{亞无一}
	{赱字底}
	{夀字头}
	{揺下角}
	{栆字头}
	{炿字边}
	{羮字底}
	{莵字底}
	{菫字底}
	{谻字边}
	{㑅上角}
	{㐪字底}
	{㔺字底}
	{㞑字心}
	{㢤字头}
	{㦱字框}
	{㳤字边}
	{䆋字边}
	{䏋字框}
	{䖏字底}
	{䪣字旁}
	{曳无丿}
	{恭字底无丶}
	{爿旁}
	{埓上角}
	{㵮下角}
	{嬽上角框}
	{躖字边框}
	{虍无七}
	{簔字底心}
	{羊下}
	{戠字框}
	{馬字框}
	{飛字底}
	{烏省}
	{婁字头}
	{叏字头}
	{吳字底}
	{呉字底}
	{飮下角}
	{門字旁}
	{門字边}
	{為字框}
	{爲字框}
	{戼字旁}
	{戼字边}
	{幷字旁}
	{幷字边}
	{㱐字头}
	{宺字底无口}
	{逺字心底}
	{黽字心}
	{龜字心}
	{骨字头}
	{畱字头}
	{韋字头}
	{為字框无点}
	{竒字框}
	{龜字心无撇}
	{齋字底}
	{鬬字心旁}
	{亥无人}
	{舞字头无朱三}
	{豸字底}
	{牙字底}
	{曳字底}
	{甫字头}
	{屯三}
	{弟省无弓}
	{矛无龴无乛}
	{毛三}
	{西字心}
	{己旁}
	{㔾旁}
	{报字边无又}
	{耉字框无耂}
	{淵字边无一}
	{乌省}
	{农三}
	{仺字底}
	{雋字底}
	{㑒无亼}
	{別字旁底}
	{渊字边框}
	{犀字心头}
	{肅字心}
	{甚字框}
	{光字头}
	{局字心}
	{兆字旁}
	{兆字边}
	{千二}
	{兔字底}
	{漢字边底}
	{亥字底}
	{颐字旁心}
	{𘦳字头}
	{𠇎字底字旁}
	{𪙯字腰字心}
	{⺽变字旁}
	{⺽变字边}
	{凡变}
	{𠇎字底}
	{口变}
	{㡭左}
	{特殊笔画}
	{井变}
	{𠍑字边字底字头}
	{率字腰变}
	{州中}
	{庸字心字底}
	{雨字心}
	{鳏下角框}
	{乑无丿}
	{ㄊ}
	{纵三点}
	{申变}
	{Δ}
	{𡠡字边字底字旁}
	{犀字心变}
	{⺀〃}
	{屮变}
	{𫝂字底字旁}
	{颐字旁变}
	{門变}
	{手变}
	{甫变}
	{癶变}
	{⺽变}
	{巜巜}
	{𦣝变}
	{𥨥字底字心}
	{𬆫字旁字底}
	{⺇变}
	{目变}
	{サ}
	{𰀋字心}
	{女下}
	{力变}
	{龹变}
	{丘无横}
	{为字框}
	{步字底无撇}
	{乌二}
	{段二}
	{母二}
	{毌二}
	{央三}
	{业无横}
	{皮二}
	{差字头无丷}
	{乐二}
	{不无横}
	{余字底}
	{朱三}
	{夫三}
	{年字底}
	{革字底}
	{于无横}
	{其字头}
	{寒字腰}
	{东二}
	{弋二}
	{牙二}
	{具字头}
	{三竖}
	{四竖}
	{身字框}
	{横两撇}
	{且无横}
	{豕省}
	{臼裂}
	{畏字底}
	{久二}
	{见字底}
	{鱼省}
	{犭二}
	{万无横}
	{隹字边}
	{牜无丿}
	{舟无撇}
	{率字腰}
	{水字框}
	{学字头}
	{亦字底}
	{变字头无亠}
	{兼无䒑无彐}
	{聿三}
	{录字头}
	{经右角}
	{马二}
	{黑五}
	{止旁}
	{水字边}
	{见二}
	{里无日}
	{全字头}
	{七旁}
	{龙下角}
	{互无二}
	{及二}
	{少三}
	{毋无框}
	{瓜字心}
	{木无横}
	{横两点}
	{鬯四点}
	{横三点}
	{年字底无竖}
	{禾框}
	{贲字腰}
	{典字头}
	{以字旁}
	{共字底}
	{延字心无撇}
	{毌无框}
	{我四}
	{戉二}
	{同字心}
	{丝字头}
	{临字边}
	{京字底}
	{亮字头}
	{幹字边}
	{伤字边}
	{雌字旁}
	{佞字边}
	{佩字边}
	{衣框}
	{侃字边}
	{襄字腰}
	{修字边}
	{修字旁}
	{倏字边}
	{候字边}
	{歮字底}
	{亟字头}
	{睿字头}
	{兑字头}
	{学无子}
	{鞴字边}
	{冏字心}
	{鬲字底}
	{赍字头}
	{啇字底}
	{南字底}
	{凿字底}
	{刷字旁}
	{前字底}
	{羲左角}
	{落字框}
	{穀字边}
	{邶字旁}
	{旅字框}
	{微字框}
	{原字心}
	{叁字底}
	{参字底}
	{彗字头}
	{劦字底}
	{巽字头}
	{兹字底}
	{惢字底}
	{畾字底}
	{寧字头}
	{或字心}
	{军字旁}
	{爲字底}
	{周字心}
	{质字框}
	{赢字框}
	{唐字心}
	{善字头}
	{嗣字旁}
	{鹿旁}
	{比旁}
	{嚏下角}
	{垚字底}
	{囊下}
	{夌字头}
	{堃字头}
	{塍字边}
	{壑字头}
	{复字底}
	{夜字底}
	{侴字底}
	{奖字头}
	{旐字边}
	{奚字底}
	{奥字头}
	{威字心}
	{微字框省}
	{媵字边}
	{嫠字头}
	{嫠字底}
	{圙字心}
	{微字边}
	{害字底}
	{徵字边}
	{寅字底}
	{寐字底}
	{寡字底}
	{寤字底}
	{峱字边}
	{将字边}
	{尉字旁}
	{屦字心}
	{徽字边}
	{辩字框}
	{嵇字边}
	{帚字头}
	{粥字框}
	{度字框}
	{弱字旁}
	{弢字边}
	{彀字旁}
	{後字边}
	{兜字框}
	{德字边}
	{慭字头}
	{惬字边}
	{舆字头无一}
	{璺字头无冖}
	{愣字边}
	{掰字框}
	{辔字头框}
	{脩字旁}
	{抛字边}
	{夔字腰框}
	{择字边}
	{拶字边}
	{槱字边}
	{彀字框}
	{彀字框无一}
	{颖字框}
	{滘字边}
	{漦字底}
	{禤字边}
	{罽字底}
	{翛字边}
	{攀字底}
	{散字旁}
	{敫字旁}
	{肸字边}
	{陞字边}
	{斡字边}
	{断字旁}
	{颎字旁}
	{骉字底}
	{旃字边}
	{旄字边}
	{旅字边}
	{旆字边}
	{旋字边}
	{旌字边}
	{旎字边}
	{族字边}
	{旖字边}
	{旗字边}
	{尞字底}
	{毚字头}
	{戲字旁}
	{暹字心}
	{曼字底}
	{旞字边}
	{望字头}
	{覽右角}
	{夐字头}
	{昆字旁}
	{袁字底变}
	{袁变}
	{徵字心无一}
	{奐字腰}
	{發字底}
	{橐字底}
	{學字头无冖}
	{款字旁}
	{殇字边}
	{殿字旁}
	{毁字底}
	{毂字旁}
	{學字头}
	{鹵字底}
	{沿字边}
	{岡字心}
	{派字边}
	{臯字底}
	{鬰字底}
	{涩字边}
	{鬱字头}
	{淫字边}
	{樂字头}
	{渠字头}
	{熒字头}
	{斿字边}
	{齊字腰}
	{齊字底}
	{滕字边}
	{满字边}
	{慶字底}
	{將字边}
	{芻字头}
	{入入}
	{㒳字框}
	{潸字边}
	{㒼字底}
	{兪字底}
	{灌下角}
	{峠字边}
	{從字边}
	{然字头}
	{煞字头}
	{壽字头}
	{賓字头}
	{㥯字头}
	{燹字头}
	{爱字头}
	{爵字头}
	{爵字底}
	{監字头}
	{劉字旁}
	{牖字边}
	{牵字头}
	{犀字心}
	{狱字边}
	{達字心}
	{屬字底}
	{瑙字边}
	{尋字腰}
	{嗇字头}
	{鎖字边}
	{璺字头}
	{強字边}
	{齒字底}
	{画字底}
	{留字头}
	{齒字底心}
	{疆字旁}
	{疑字边}
	{龍字旁}
	{瘗字心}
	{瘪字心}
	{㩦字边}
	{盈字头}
	{益字头}
	{帶无巾}
	{盾字心}
	{對字旁}
	{萝字头}
	{瞿字头}
	{矗字底}
	{與字头无一}
	{與字头}
	{稷字边}
	{稽字边}
	{旣字旁}
	{箍字底}
	{算字底}
	{箝字底}
	{盡字头}
	{乿字旁}
	{簋字底}
	{簸字底}
	{粤字头}
	{搖字边}
	{粱字头}
	{綮字头}
	{麤字底}
	{蔵字底}
	{溫字边}
	{傷字边}
	{歰字头}
	{缠字边}
	{网字心}
	{罔字心}
	{悩字边}
	{雜字旁}
	{罚字底}
	{羁字底}
	{羼字心}
	{關字心}
	{翰字边}
	{桜字边}
	{肄字旁}
	{能字边}
	{能字旁}
	{栃字边}
	{腾字边}
	{舄字底}
	{舆字头}
	{儍字边}
	{穏字边}
	{茶字底}
	{寕字腰}
	{㗷字边}
	{寶字腰}
	{荧字头}
	{嫠字头有厂}
	{憲字底}
	{徳字边}
	{県字头}
	{菌字底}
	{萍字底}
	{萨字底}
	{値字边}
	{聽字旁}
	{肈字头}
	{図字心}
	{卥字底}
	{夓字头}
	{糥字边}
	{蓖字底}
	{蓟字底}
	{蔑字底}
	{蔺字底}
	{㕼字边心}
	{㕼字边}
	{蕲字底}
	{㡭字心}
	{蕻字底}
	{薤字底}
	{薹字腰}
	{㥁字头}
	{蜀字底}
	{㫁字旁心}
	{聖字头}
	{蠹字底}
	{㫁字旁}
	{㴴上角}
	{㴴字边}
	{聨字边}
	{亁字旁}
	{倐字边}
	{倶字边}
	{袁字底}
	{偼字边}
	{㫺字头}
	{僊字边}
	{萈字底}
	{褱字腰}
	{解字边}
	{觳字旁}
	{詹字心}
	{兠字头}
	{谧字边}
	{熈字头}
	{谷字头}
	{豆无横}
	{凬字心}
	{別字旁}
	{贤字头}
	{质字心}
	{勧字旁}
	{匩字心}
	{载字框}
	{匲字心}
	{辟字旁}
	{嵆字头}
	{剎字旁}
	{刕字底}
	{廄字心}
	{遣字心}
	{邃字心}
	{巤字底}
	{厵字底}
	{歯字底}
	{鶾字边}
	{醢字边}
	{醯字边}
	{飝字底}
	{鑫字底}
	{锎字边}
	{鹽右角}
	{鹽字头}
	{陋字边}
	{䀋字头}
	{賷字头}
	{隋字边}
	{裦字腰}
	{隙字边}
	{隰下角}
	{隳字底}
	{褎字腰}
	{褏字腰}
	{雍字底}
	{襃字腰}
	{霸字底}
	{絕字边}
	{颍字旁}
	{颖字旁}
	{猋字底}
	{僃字边底}
	{僃字边}
	{僲字边}
	{饰字边}
	{馋字边}
	{儵字边}
	{歴字框}
	{鬯字头}
	{哶字边}
	{鸨字旁}
	{鬱字底}
	{䇔字底}
	{黄字底}
	{黎字头}
	{黎字底}
	{鼎字框}
	{齿字底}
	{龠字底}
	{丽下角}
	{傻下角}
	{兽字头}
	{唘字头}
	{嗀字旁}
	{贏字底}
	{頁变}
	{彝字腰}
	{山一}
	{微字心}
	{徵字心}
	{徽字心}
	{㛂字边}
	{燕字腰}
	{爨字底}
	{㐺字边}
	{畺字底}
	{㺸字头}
	{穆下角}
	{纂字底}
	{㝛字底}
	{胤字心}
	{鴈字心}
	{㵸字旁}
	{綂字边}
	{虄下角}
	{豐字头}
	{隆右角}
	{丽字底}
	{㢘字心}
	{侵字边}
	{傻字边}
	{㧇字边}
	{渆字边}
	{兜字头}
	{臝字底}
	{㶜字边}
	{啚字底}
	{䉇字底}
	{叠字头}
	{㲃字旁}
	{㮚字头}
	{皍字底}
	{墼字头}
	{嚴字底}
	{嬴字底}
	{寇字底}
	{寝字底}
	{䔴字底}
	{屐字心}
	{嵌字底}
	{驘字底}
	{廛字心}
	{彘字底}
	{彝字底}
	{兺字底}
	{桰字旁}
	{宺字底}
	{憩字头}
	{脗字边}
	{槗字边}
	{揣字边}
	{㬽字边}
	{瀒字边}
	{圀字框}
	{䡖字边}
	{旒字边}
	{榻字边}
	{㳴字边}
	{逺字心}
	{溼字边}
	{渊字边}
	{㯇字边}
	{錽字边}
	{澈字边}
	{䦩字心}
	{籑字底}
	{䓐字底}
	{嬽字边}
	{敎字旁}
	{燮字头}
	{蔲字底}
	{琐字边}
	{濅字旁}
	{寶字头}
	{瘸字心}
	{㩊字边}
	{盥字头}
	{瞢字头}
	{㯹字边}
	{穆字边}
	{拋字边}
	{䐅字边}
	{遅字心}
	{辥字旁}
	{罂字头}
	{羸字底}
	{䤱字边}
	{蒇字底}
	{梤字边}
	{薛字底}
	{㩗字边}
	{蠃字底}
	{衡字心}
	{㵹字边}
	{㦽字边}
	{隓字边}
	{赢字底}
	{赣字边}
	{辔字头}
	{郄字旁}
	{䩘字边}
	{躖字边}
	{頯字旁}
	{浳字边}
	{㙒字头}
	{㢸字旁}
	{霛字底}
	{餐字头}
	{鼍字头}
	{夔字腰}
	{率无亠无十}
	{厨字心}
	{夔字头}
	{虇字底}
	{屩字心}
	{㗹字边}
	{䟈字心}
	{巀字底}
	{掱字底}
	{憗字头}
	{㷺字头}
	{盭字头}
	{䨷字底}
	{簱字底}
	{峕字底}
	{㫦字边}
	{捑字边}
	{㬥字头}
	{暦字心}
	{㳿字边}
	{痲字心}
	{䛶字旁}
	{㥡字边}
	{篐字底}
	{㮪字边}
	{䢄字边}
	{㭮字边}
	{薧字底}
	{廏字心}
	{糳字头}
	{㶜字旁}
	{薓字底}
	{叜字底}
	{稥字头}
	{薫字底}
	{顲字旁}
	{㡪字边}
	{䉚字底}
	{壨字头}
	{氎字旁}
	{嚔字边}
	{蘤字底}
	{郻字旁}
	{闅字心}
	{㷡字头}
	{㪺字旁}
	{䥧字边}
	{䵹字头}
	{槖字头}
	{頴字边}
	{竃字头}
	{㴱字边}
	{䤗字头}
	{籑字头}
	{敹字旁}
	{轡字头}
	{奰字头}
	{㮆字边}
	{㣧字边}
	{㵬字边}
	{舙字底}
	{㮱字边}
	{㨲字边}
	{㩰字边}
	{鎼字边}
	{虨字旁}
	{䞊字边}
	{掻字边}
	{䩶字边}
	{䖺字边}
	{䢣字心}
	{鎻字边}
	{範字底}
	{盫字头}
	{㵚字边}
	{蔅字底}
	{䤏字边}
	{䇀字底}
	{顨字头}
	{䭬字边}
	{馫字底}
	{䯬字旁}
	{竵字边}
	{䲜字旁}
	{鳳字心}
	{䕿字底}
	{㴊字边}
	{㬄字底}
	{㖬字边}
	{㷯字旁}
	{盩字头}
	{䝺字头}
	{寣字底}
	{㷏字头}
	{䱷字旁}
	{眾字底}
	{㝅字旁}
	{寍字头}
	{啔字头}
	{㷸字边}
	{㦤字边}
	{塩字边}
	{潈字边}
	{䜛字边}
	{蠫字头}
	{㑓字边}
	{蝅字头}
	{㑎字边}
	{會字底}
	{䨙字底}
	{熲字旁}
	{寢字底}
	{㔟字头}
	{蘓字底}
	{篡字头}
	{䙨字边}
	{賔字心}
	{衞字心}
	{產字底}
	{䕮字底}
	{蘄字底}
	{䜀字边}
	{盧字心}
	{䆩字底}
	{䝂字头}
	{擥字头}
	{瘞字心}
	{徰字边}
	{稲字边}
	{湽字边}
	{毀字旁}
	{䥚字心}
	{傘字底}
	{嚺字心}
	{嚺字边}
	{壵字底}
	{尛字底}
	{沒字边}
	{渁字边}
	{粵字头}
	{㐂字底}
	{奧字头}
	{攨下角}
	{攨字边}
	{橻下角}
	{橻字边}
	{歸字边}
	{満字边}
	{灥字底}
	{麗左角}
	{麗字头}
	{黙字头}
	{黱字边}
	{虩字旁}
	{螒字边}
	{贛字边}
	{蕚字底}
	{薚字底}
	{蘛字底}
	{觲字边}
	{賸字边}
	{嬎字边}
	{嬔字边}
	{宼字底}
	{寎字底}
	{寱字底}
	{柡字边}
	{桳字边}
	{梷字头}
	{榦字边}
	{歠字旁}
	{渇字边}
	{渓字边}
	{潂字边}
	{焔字边}
	{燞字头}
	{猒字旁}
	{獣字旁}
	{癟字心}
	{穯字边}
	{竀字底}
	{屜字心}
	{屧字心}
	{巬字头}
	{摂字边}
	{摿字边}
	{斵字旁}
	{渋字边}
	{縁字边}
	{繉字边}
	{繊字边}
	{颣字旁}
	{絛字边}
	{聫字边}
	{膥字头}
	{臨字边}
	{辪字旁}
	{醓字边}
	{銟字边}
	{鋄字边}
	{陹字边}
	{隂字边}
	{隲字边}
	{圅字底}
	{圗字心}
	{埓字边}
	{壊字边}
	{夣字头}
	{嫓字边}
	{宻字腰}
	{屨字心}
	{屫字心}
	{嵗字底}
	{巕字旁}
	{彥字底}
	{従字旁}
	{忁字边}
	{懐字边}
	{捜字边}
	{揺字边}
	{摉字边}
	{晩字边}
	{朂字底}
	{楽字头}
	{榋下角}
	{榋字边}
	{樧字边}
	{檃字头}
	{欳字旁}
	{歳字底}
	{溄字边}
	{潨字边}
	{澚字边}
	{灋字边}
	{煕字头}
	{煭字头}
	{朢字头}
	{牽字头}
	{璳字边}
	{瓥字头}
	{盬字头}
	{睂字框}
	{矈字边}
	{竊字底}
	{竷字边}
	{簔字底}
	{簚字底}
	{緖字边}
	{繭字底}
	{纒字边}
	{羋字头}
	{興字头}
	{舝字腰}
	{蕆字底}
	{蕐字底}
	{蘷字腰}
	{虄字底}
	{衋字头}
	{贁字旁}
	{贒字头}
	{輿字头}
	{逰字心}
	{邉字心}
	{邍字心}
	{鎫字边}
	{鐡字边}
	{鑙字边}
	{雗字边}
	{霊字底}
	{霠字底}
	{霿字底}
	{霿右角}
	{靐字底}
	{鞗字边}
	{颒字旁}
	{頿字旁}
	{顈字旁}
	{類字旁}
	{餩字边}
	{鬬字心}
	{鯈字边}
	{麉字头}
	{㑅字边}
	{㑨字边}
	{㑴字边}
	{㑸字边}
	{㒨字边}
	{㒪字底}
	{㒪字腰}
	{㒺字心}
	{㓒字头}
	{㓫字旁}
	{㓹字旁}
	{㔐字旁}
	{㔲字心}
	{㕢字旁}
	{㙿字边}
	{㝙字底}
	{㝥字底}
	{㝱字底}
	{㝲字底}
	{㝷字腰}
	{㞛字心}
	{㞡字心}
	{㟗字心}
	{㠭字边}
	{㣆字边}
	{㣏字边}
	{㤪字头}
	{㥻字头}
	{㦯字心}
	{㧉字边}
	{㨌字旁}
	{㩀字边}
	{㪿字旁}
	{㫄字底}
	{㫅字边}
	{㬞字边}
	{㯋字旁}
	{㯯字边}
	{㰓字边}
	{㱎字旁}
	{㱿字旁}
	{㲄字旁}
	{㲦字边}
	{㳗字边}
	{㴁字边}
	{㴃字边}
	{㴅字边}
	{㴏字边}
	{㴳字边}
	{㵄字边}
	{㵮字边}
	{㷉字旁}
	{㷗字头}
	{㷩字头}
	{㸃字头}
	{㸉字头}
	{㺆字边}
	{㺙字边}
	{㻄字边}
	{㻹字头}
	{㼂字头}
	{㽔字框}
	{㿂字心}
	{㿆字心}
	{㿓字心}
	{㿜字心}
	{䀇字头}
	{䁊字边}
	{䁞字底}
	{䂋字旁}
	{䄹字底}
	{䅩字边}
	{䆐字底}
	{䇟字底}
	{䇱字底}
	{䊨字底}
	{䋜字头}
	{䌓字头}
	{䏋字底}
	{䏮字边}
	{䑝字底}
	{䑞字头}
	{䔘字底}
	{䔢字底}
	{䔤字底}
	{䕂字底}
	{䕄字底}
	{䕎字底}
	{䕥字底}
	{䖃字底}
	{䖫字边}
	{䘙字心}
	{䘠字边}
	{䜥字边}
	{䞸字心}
	{䠌字边}
	{䡸字边}
	{䢉字头}
	{䢥字心}
	{㻨字头}
	{䤇字边}
	{䥅字头}
	{䥭字头}
	{䥮字边}
	{䥮下角}
	{䦄字边}
	{䦇字边}
	{䧙字边}
	{䧪字边}
	{䧪下角}
	{䧭字边}
	{䧭上角}
	{䨶字底}
	{䨺字底}
	{䫇字旁}
	{䫠字旁}
	{䭇字边}
	{䭍字边}
	{䮧字边}
	{䰗字心}
	{䰞字头}
	{䲣字旁}
	{鹿无广}
	{䪟字边}
	{䶑下角}
	{䶑字边}
	{䬸字头}
	{䪠字头}
	{䪡字头}
	{䪢字边}
	{盭左角}
	{蔲字底无宀}
	{糳左角}
	{竵字边心}
	{奰字腰}
	{㷉字旁心}
	{巕上角}
	{溄下角}
	{㝲下角}
	{䕂字底心}
	{繭字底心}
	{鎫上角}
	{纒字边心}
	{嬽上角}
	{躖字边心}
	{㡪下角}
	{㡪下角心}
	{㡪下角腰}
	{㙿下角}
	{䥧下角}
	{䞊下角}
	{竊下角}
	{䕥字底框}
	{亂下角}
	{亂下角框}
	{亂下角心}
	{爾字框}
	{龜左角}
	{龜右角}
	{鬱下角}
	{奨字头}
	{為无点}
	{慿右角}
	{兪字头}
	{龜无撇}
	{夒字头}
	{微字框无一}
	{喪字头无横}
	{鵥字头}
	{濲字边}
	{䘮字头无一}
	{卤字框}
	{㓰字旁}
	{䕫字腰}
	{鸁字底}
	{㣲字心}
	{幑字心}
	{鰴字心}
	{黴字心}
	{殼字旁}
	{㜌字旁}
	{㷤字旁}
	{㺉字旁}
	{䐨字旁}
	{榖字旁}
	{瑴字旁}
	{瞉字旁}
	{䍍字旁}
	{糓字旁}
	{縠字旁}
	{㲉字旁}
	{豰字旁}
	{轂字旁}
	{鷇字旁}
	{輿字头无一}
	{壺字底}
	{壷字底}
	{腾字框}
	{参字头}
	{詹字框}
	{燕字头}
	{幂字头}
󰀀	{𠀇字头}
󰀁	{𠀈字头}
󰀂	{𠀑字底}
󰀃	{𠀕字底}
󰀄	{𠀚字底}
󰀅	{𠀞字旁字框}
󰀆	{𠀞字旁}
󰀈	{𠀞字旁之一}
󰀉	{𠀣字框}
󰀊	{𠀣字心}
󰀋	{𠀩字旁}
󰀌	{𠀬字底}
󰀍	{𠀵字边}
󰀎	{𠀸字底字旁}
󰀏	{𠀸字底}
󰀐	{𠀺字框}
󰀑	{𠀺字心}
󰀒	{𠁂字旁字框}
󰀓	{𠁂字旁}
󰀔	{𠁅字框}
󰀕	{𠁅字心字心}
󰀖	{𠁅字心}
󰀗	{𠁈字底字心}
󰀘	{𠁈字底}
󰀙	{𠁈字底字心字底}
󰀚	{𠁈字底字心之一}
󰀛	{𠁈字底之一}
󰀜	{𠁈字底字心之二}
󰀝	{𠁈字底之二}
󰀞	{𠁈字底字心字头}
󰀟	{𠁈字底字心之三}
󰀠	{𠁈字底之三}
󰀡	{𠁊字心}
󰀢	{𠁐字底}
󰀣	{𠁕字头}
󰀤	{𠁖字头字旁字底}
󰀥	{𠁖字头字旁}
󰀦	{𠁖字头}
󰀧	{𠁖字底}
󰀩	{𠁗字头}
󰀪	{𠁘字底字框字心}
󰀫	{𠁘字底字框}
󰀬	{𠁘字底}
󰀭	{𠁞字头}
󰀮	{𠁟字边字底}
󰀯	{𠁟字边}
󰀰	{𠁠字旁}
󰀱	{𠁥字头}
󰀲	{𠁧字心}
󰀳	{𠁬字底字心}
󰀴	{𠁬字底}
󰀵	{𠁭字底}
󰀶	{𠁮字头}
󰀷	{𠁮字底}
󰀸	{𠁮字底之一}
󰀹	{𠁰字心}
󰀺	{𠁱字框}
󰀻	{𠁱字心}
󰀼	{𠁱字框之一}
󰀽	{𠁳字心}
󰀾	{𠁴字框字心}
󰀿	{𠁴字框}
󰁀	{𠁵字边字头}
󰁁	{𠁵字边}
󰁂	{𠁶字边}
󰁃	{𠁾字框}
󰁄	{𠁾字框之一}
󰁅	{𠁿字心}
󰁆	{𠂂字腰字心}
󰁇	{𠂂字腰}
󰁈	{𠂍字底}
󰁉	{𠂏字心}
󰁊	{𠂏字心之一}
󰁌	{𠂟字底}
󰁍	{𠂦字心}
󰁎	{𠂧字框}
󰁏	{𠂨字框}
󰁐	{𠂮字心字框}
󰁑	{𠂮字心}
󰁒	{𠂯字底}
󰁓	{𠂰字心字框}
󰁔	{𠂰字心}
󰁕	{𠂴字边}
󰁖	{𠂵字心}
󰁗	{𠂶字心}
󰁘	{𠂸字框}
󰁙	{𠂸字心}
󰁚	{𠂻字头}
󰁛	{𠂻字头之一}
